cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11
2000-04-05,1487.370000,0.939200,-0.623700,-0.249800,-0.009200,-0.283000,-0.226600,-0.347800,-0.333700,-0.295200,0.030000,0.040000,0.018015,0.511217,0.512060,0.516465
2000-04-06,1501.340000,0.999800,0.221200,-0.103300,0.046100,0.179200,-0.080000,-0.060900,-0.187800,-0.193300,0.040000,0.040000,0.098589,0.532496,0.535097,0.516002
2000-04-07,1516.350000,-0.784100,0.960300,0.479900,0.173000,0.236800,0.315700,0.074600,0.071800,-0.055600,0.050000,0.040000,0.123224,0.514353,0.518194,0.508183
2000-04-10,1504.460000,-0.257200,0.103300,0.377900,0.161900,-0.020100,0.065300,0.157400,-0.033800,-0.024200,0.010000,0.040000,0.072017,0.487625,0.484914,0.494556
2000-04-11,1500.590000,-2.227100,-0.524500,-0.016600,0.219500,0.078000,-0.059700,0.019100,0.105500,-0.058800,0.020000,0.040000,-0.024546,0.487898,0.487677,0.505447
2000-04-12,1467.170000,-1.817100,-1.256500,-1.099700,-0.570600,-0.269700,-0.307000,-0.370500,-0.262200,-0.154000,0.030000,0.040000,0.058114,0.515757,0.517216,0.503123
2000-04-13,1440.510000,-5.827800,-2.066300,-1.450700,-1.282700,-0.818800,-0.524700,-0.520500,-0.549500,-0.432800,0.040000,0.040000,0.083764,0.494843,0.496688,0.488704
2000-04-14,1356.560100,3.308400,-3.954500,-3.377600,-2.565600,-2.198200,-1.647900,-1.271600,-1.173500,-1.126000,0.050000,0.040000,0.010057,0.509109,0.512553,0.508828
2000-04-17,1401.439900,2.866300,-1.416600,-1.565600,-1.750000,-1.437600,-1.325300,-0.980700,-0.735200,-0.708000,0.010000,0.040000,0.134820,0.518969,0.517356,0.529573
2000-04-18,1441.610000,-0.980800,2.991500,0.026200,-0.453200,-0.829900,-0.730100,-0.739100,-0.513600,-0.348500,0.020000,0.040000,0.311194,0.606299,0.606810,0.578021
2000-04-19,1427.470000,0.495300,0.907300,1.660500,-0.231700,-0.561700,-0.856700,-0.767200,-0.770200,-0.565800,0.030000,0.040000,0.155759,0.510632,0.510072,0.558265
2000-04-20,1434.540000,-0.326200,-0.247000,0.769100,1.366900,-0.084500,-0.383800,-0.662500,-0.609600,-0.630600,0.040000,0.040000,-0.172531,0.536383,0.538834,0.570128
2000-04-24,1429.860000,3.327600,0.083400,-0.273800,0.495700,1.027300,-0.125400,-0.375700,-0.620500,-0.578300,0.010000,0.040000,0.175903,0.596968,0.597236,0.544343
2000-04-25,1477.439900,-1.113400,1.475600,1.150900,0.621000,1.054000,1.403600,0.370500,0.090000,-0.179800,0.020000,0.040000,0.283906,0.509207,0.509018,0.474001
2000-04-26,1460.990000,0.269000,1.059400,0.605500,0.577600,0.268000,0.686700,1.036700,0.179200,-0.048000,0.030000,0.040000,0.098133,0.482446,0.481266,0.461599
